Site,window_start,Nutrient,Concentration
Q1,1988-01-05,NH4-N,27.533333333333335
Q1,1988-01-05,Ca,3.42
Q1,1988-01-05,Mg,2.1926666666666668
Q1,1988-01-05,K,0.8066666666666666
Q1,1988-01-05,NO3-N,155.06666666666666
Q1,1988-03-08,NH4-N,22.125
Q1,1988-03-08,Ca,3.084375
Q1,1988-03-08,Mg,1.976875
Q1,1988-03-08,K,0.89
Q1,1988-03-08,NO3-N,207.8125
Q1,1988-05-10,NH4-N,90.625
Q1,1988-05-10,Ca,2.9850000000000003
Q1,1988-05-10,Mg,2.183
Q1,1988-05-10,K,0.8811111111111111
Q1,1988-05-10,NO3-N,157.5
Q1,1988-07-12,NH4-N,15.5
Q1,1988-07-12,Ca,2.686923076923077
Q1,1988-07-12,Mg,1.9523076923076923
Q1,1988-07-12,K,0.7607692307692308
Q1,1988-07-12,NO3-N,63
Q1,1988-09-13,NH4-N,50.25
Q1,1988-09-13,Ca,3.665
Q1,1988-09-13,Mg,2.43875
Q1,1988-09-13,K,0.7925
Q1,1988-09-13,NO3-N,140.55555555555554
Q1,1988-11-15,NH4-N,NA
Q1,1988-11-15,Ca,4.15125
Q1,1988-11-15,Mg,2.3722222222222222
Q1,1988-11-15,K,0.8444444444444444
Q1,1988-11-15,NO3-N,153.625
Q1,1989-01-17,NH4-N,NA
Q1,1989-01-17,Ca,4.293333333333333
Q1,1989-01-17,Mg,2.783333333333333
Q1,1989-01-17,K,0.9088888888888889
Q1,1989-01-17,NO3-N,130.11111111111111
Q1,1989-03-21,NH4-N,NA
Q1,1989-03-21,Ca,4.444444444444445
Q1,1989-03-21,Mg,2.738888888888889
Q1,1989-03-21,K,0.8544444444444445
Q1,1989-03-21,NO3-N,141.88888888888889
Q1,1989-05-23,NH4-N,NA
Q1,1989-05-23,Ca,4.5344444444444445
Q1,1989-05-23,Mg,2.901111111111111
Q1,1989-05-23,K,0.9477777777777777
Q1,1989-05-23,NO3-N,123
Q1,1989-07-25,NH4-N,NA
Q1,1989-07-25,Ca,4.042222222222222
Q1,1989-07-25,Mg,2.6466666666666665
Q1,1989-07-25,K,0.9344444444444444
Q1,1989-07-25,NO3-N,88.375
Q1,1989-09-26,NH4-N,NA
Q1,1989-09-26,Ca,4.2290909090909095
Q1,1989-09-26,Mg,3.0154545454545456
Q1,1989-09-26,K,1.3208333333333333
Q1,1989-09-26,NO3-N,415.7142857142857
Q1,1989-11-28,NH4-N,NA
Q1,1989-11-28,Ca,5.8566666666666665
Q1,1989-11-28,Mg,3.2266666666666666
Q1,1989-11-28,K,1.1466666666666667
Q1,1989-11-28,NO3-N,99
Q1,1990-01-30,NH4-N,NA
Q1,1990-01-30,Ca,5.546666666666667
Q1,1990-01-30,Mg,3.1666666666666665
Q1,1990-01-30,K,1.2344444444444445
Q1,1990-01-30,NO3-N,211.375
Q1,1990-04-03,NH4-N,NA
Q1,1990-04-03,Ca,4.312857142857143
Q1,1990-04-03,Mg,2.5492857142857144
Q1,1990-04-03,K,1.3628571428571428
Q1,1990-04-03,NO3-N,450.30769230769226
Q1,1990-06-05,NH4-N,NA
Q1,1990-06-05,Ca,5.4944444444444445
Q1,1990-06-05,Mg,3.2333333333333334
Q1,1990-06-05,K,1.1555555555555554
Q1,1990-06-05,NO3-N,143.77777777777777
Q1,1990-08-07,NH4-N,NA
Q1,1990-08-07,Ca,5.841111111111111
Q1,1990-08-07,Mg,3.2688888888888887
Q1,1990-08-07,K,0.8844444444444445
Q1,1990-08-07,NO3-N,80.83333333333334
Q1,1990-10-09,NH4-N,NA
Q1,1990-10-09,Ca,4.603
Q1,1990-10-09,Mg,2.832
Q1,1990-10-09,K,1.007
Q1,1990-10-09,NO3-N,108.5
Q1,1990-12-11,NH4-N,NA
Q1,1990-12-11,Ca,5.297
Q1,1990-12-11,Mg,2.988
Q1,1990-12-11,K,0.983
Q1,1990-12-11,NO3-N,155.375
Q1,1991-02-12,NH4-N,NA
Q1,1991-02-12,Ca,5.656
Q1,1991-02-12,Mg,3.145
Q1,1991-02-12,K,0.8210000000000001
Q1,1991-02-12,NO3-N,65.9
Q1,1991-04-16,NH4-N,NA
Q1,1991-04-16,Ca,5.167777777777777
Q1,1991-04-16,Mg,2.9477777777777776
Q1,1991-04-16,K,0.9255555555555556
Q1,1991-04-16,NO3-N,46.375
Q1,1991-06-18,NH4-N,NA
Q1,1991-06-18,Ca,5.622222222222223
Q1,1991-06-18,Mg,3.3777777777777778
Q1,1991-06-18,K,0.7644444444444445
Q1,1991-06-18,NO3-N,32.42857142857143
Q1,1991-08-20,NH4-N,NA
Q1,1991-08-20,Ca,5.84
Q1,1991-08-20,Mg,3.614
Q1,1991-08-20,K,1.165
Q1,1991-08-20,NO3-N,63.5
Q1,1991-10-22,NH4-N,NA
Q1,1991-10-22,Ca,4.274615384615385
Q1,1991-10-22,Mg,2.716153846153846
Q1,1991-10-22,K,1.1407692307692308
Q1,1991-10-22,NO3-N,121.6923076923077
Q1,1991-12-24,NH4-N,NA
Q1,1991-12-24,Ca,4.971111111111111
Q1,1991-12-24,Mg,2.9955555555555557
Q1,1991-12-24,K,1.24
Q1,1991-12-24,NO3-N,187.125
Q1,1992-02-25,NH4-N,NA
Q1,1992-02-25,Ca,6.308888888888889
Q1,1992-02-25,Mg,3.578888888888889
Q1,1992-02-25,K,1.1111111111111112
Q1,1992-02-25,NO3-N,79.75
Q1,1992-04-28,NH4-N,NA
Q1,1992-04-28,Ca,4.303333333333334
Q1,1992-04-28,Mg,2.59
Q1,1992-04-28,K,1.031111111111111
Q1,1992-04-28,NO3-N,57.125
Q1,1992-06-30,NH4-N,NA
Q1,1992-06-30,Ca,5.6066666666666665
Q1,1992-06-30,Mg,3.2455555555555557
Q1,1992-06-30,K,1.1466666666666667
Q1,1992-06-30,NO3-N,140.625
Q1,1992-09-01,NH4-N,NA
Q1,1992-09-01,Ca,6.2
Q1,1992-09-01,Mg,3.517777777777778
Q1,1992-09-01,K,1.0655555555555556
Q1,1992-09-01,NO3-N,67.71428571428571
Q1,1992-11-03,NH4-N,NA
Q1,1992-11-03,Ca,4.543333333333333
Q1,1992-11-03,Mg,2.4955555555555557
Q1,1992-11-03,K,0.9622222222222222
Q1,1992-11-03,NO3-N,33
Q1,1993-01-05,NH4-N,NA
